materia,grupo,profesor
1541,B3|4|54|||20251,P000117
1541,C1|4|54|||20251,P000117
1542,C1|4|54|||20251,P000019
1542,F|4|54|||20251,P000055
1543,B0|4|54|||20251,P000009
1543,C0|4|54|||20251,P000015
1543,CF|4|54|||20251,P000057
1543,D0|4|54|||20251,P000057
1543,DC|4|54|||20251,P000057
1546,AA|4|54|||20251,P000101
1546,BA|4|54|||20251,P000102
1546,CA|4|54|||20251,P000101
2541,F|4|54|||20251,P000121
2541,G|4|54|||20251,P000082
2542,F|4|54|||20251,P000062
2543,F|4|54|||20251,P000110
2543,H|4|54|||20251,P000108
2545,A0|4|54|||20251,P000023
2545,B0|4|54|||20251,P000006
2545,C0|4|54|||20251,P000039
2545,D0|4|54|||20251,P000006
2545,E0|4|54|||20251,P000016
2545,F|4|54|||20251,P000023
2545,F0|4|54|||20251,P000039
2545,G|4|54|||20251,P000011
2545,G0|4|54|||20251,P000011
2545,H|4|54|||20251,P000036
2545,H0|4|54|||20251,P000036
2545,I|4|54|||20251,P000027
2545,I0|4|54|||20251,P000027
2545,J|4|54|||20251,P000022
2545,J0|4|54|||20251,P000022
2545,K|4|54|||20251,P000014
2545,K0|4|54|||20251,P000014
2545,L|4|54|||20251,P000011
2545,M|4|54|||20251,P000022
2545,N|4|54|||20251,P000022
2545,O|4|54|||20251,P000009
2545,P|4|54|||20251,P000036
2545,Q|4|54|||20251,P000039
2545,R|4|54|||20251,P000016
2545,S|4|54|||20251,P000027
2545,T|4|54|||20251,P000027
2545,U|4|54|||20251,P000039
2545,V|4|54|||20251,P000014
2545,W|4|54|||20251,P000014
2545,X|4|54|||20251,P000036
2545,Y|4|54|||20251,P000011
2545,Z|4|54|||20251,P000039
2547,F|4|54|||20251,P000093
2547,G|4|54|||20251,P000095
3542,A1|4|54|||20251,P000104
3542,F|4|54|||20251,P000104
3545,F|4|54|||20251,P000080
3545,G|4|54|||20251,P000080
3545,H|4|54|||20251,P000041
3545,I|4|54|||20251,P000036
3545,J|4|54|||20251,P000041
3545,K|4|54|||20251,P000059
3545,L|4|54|||20251,P000085
4541,F|4|54|||20251,P000001
4541,G|4|54|||20251,P000114
4542,AA|4|54|||20251,P000107
4542,BA|4|54|||20251,P000058
4542,CA|4|54|||20251,P000053
4542,DA|4|54|||20251,P000002
4542,EA|4|54|||20251,P000118
4542,G|4|54|||20251,P000107
4542,GA|4|54|||20251,P000118
4544,F|4|54|||20251,P000035
4544,G|4|54|||20251,P000001
4545,F|4|54|||20251,P000008
4545,G|4|54|||20251,P000003
5541,F|4|54|||20251,P000021
5542,F|4|54|||20251,P000086
5545,F|4|54|||20251,P000008
5547,F|4|54|||20251,P000003
5547,G|4|54|||20251,P000103
6541,F|4|54|||20251,P000044
6541,G|4|54|||20251,P000001
6541,H|4|54|||20251,P000024
6543,F|4|54|||20251,P000045
6544,F|4|54|||20251,P000037
6546,F|4|54|||20251,P000070
6546,G|4|54|||20251,P000003
7541,F|4|54|||20251,P000090
7541,G|4|54|||20251,P000005
3547,B|4|54|||20251~S1,P000010
4547,B|4|54|||20251~S1,P000004
754U,B|4|54|||20251~S1,P000078
754V,B|4|54|||20251~S1,P000034
754W,B|4|54|||20251~S1,P000034
8543,B|4|54|||20251~S1,P000077
854G,B|4|54|||20251~S1,P000007
9541,B|4|54|||20251~S1,P000010
2544,B|4|54|||20251~S1,P000029
7546,B|4|54|||20251~S1,P000050
4546,B|4|54|||20251~S1,P000002
5542,B|4|54|||20251~S1,P000037
1541,B|4|54|||20251~S1,P000038
2541,B|4|54|||20251~S1,P000121
2546,B|4|54|||20251~S1,P000003
3542,B|4|54|||20251~S1,P000075
4542,B|4|54|||20251~S1,P000058
5544,B|4|54|||20251~S1,P000051
6541,B|4|54|||20251~S1,P000010
6547,B|4|54|||20251~S1,P000008
8542,B|4|54|||20251~S1,P000081
654H,B|4|54|||20251~S2,P000049
654I,B|4|54|||20251~S2,P000049
754T,B|4|54|||20251~S2,P000007
854Q,B|4|54|||20251~S2,P000007
654O,B|4|54|||20251~S2,P000040
654P,B|4|54|||20251~S2,P000040
854S,B|4|54|||20251~S2,P000001
854T,B|4|54|||20251~S2,P000013
4545,B|4|54|||20251~S2,P000003
5546,B|4|54|||20251~S2,P000120
6544,B|4|54|||20251~S2,P000008
6546,B|4|54|||20251~S2,P000064
1546,B|4|54|||20251~S2,P000102
2545,B|4|54|||20251~S2,P000009
3541,B|4|54|||20251~S2,P000113
4541,B|4|54|||20251~S2,P000113
5541,B|4|54|||20251~S2,P000046
5547,B|4|54|||20251~S2,P000045
6543,B|4|54|||20251~S2,P000045
7542,B|4|54|||20251~S2,P000006
0540,B|4|54|||20251~S2,P000035
7543,B|4|54|||20251~S3,P000099
754H,B|4|54|||20251~S3,P000098
754I,B|4|54|||20251~S3,P000007
654F,B|4|54|||20251~S3,P000008
654G,B|4|54|||20251~S3,P000111
854H,B|4|54|||20251~S3,P000111
1544,B|4|54|||20251~S3,P000092
2542,B|4|54|||20251~S3,P000032
3543,B|4|54|||20251~S3,P000051
4544,B|4|54|||20251~S3,P000051
5543,B|4|54|||20251~S3,P000086
6545,B|4|54|||20251~S3,P000003
1542,B|4|54|||20251~S3,P000042
2543,B|4|54|||20251~S3,P000069
2547,B|4|54|||20251~S3,P000004
3545,B|4|54|||20251~S3,P000080
4543,B|4|54|||20251~S3,P000096
5545,B|4|54|||20251~S3,P000078
6542,B|4|54|||20251~S3,P000007
7541,B|4|54|||20251~S3,P000045
854R,B|4|54|||20251~S3,P000052
0540,A|4|54|||20251~S1,P000035
2547,A|4|54|||20251~S1,P000095
3543,A|4|54|||20251~S1,P000009
3547,A|4|54|||20251~S1,P000010
6544,A|4|54|||20251~S1,P000086
654H,A|4|54|||20251~S1,P000006
654I,A|4|54|||20251~S1,P000049
9541,A|4|54|||20251~S1,P000004
3541,A|4|54|||20251~S1,P000008
5545,A|4|54|||20251~S1,P000004
754T,A|4|54|||20251~S1,P000049
854Q,A|4|54|||20251~S1,P000087
1546,A|4|54|||20251~S1,P000102
2544,A|4|54|||20251~S1,P000066
3542,A|4|54|||20251~S1,P000104
4542,A|4|54|||20251~S1,P000074
4545,A|4|54|||20251~S1,P000120
5543,A|4|54|||20251~S1,P000116
6541,A|4|54|||20251~S1,P000090
654F,A|4|54|||20251~S1,P000081
754H,A|4|54|||20251~S1,P000098
854G,A|4|54|||20251~S1,P000043
654G,A|4|54|||20251~S2,P000005
754I,A|4|54|||20251~S2,P000111
854H,A|4|54|||20251~S2,P000091
654O,A|4|54|||20251~S2,P000040
654P,A|4|54|||20251~S2,P000040
1544,A|4|54|||20251~S2,P000005
2542,A|4|54|||20251~S2,P000062
5542,A|4|54|||20251~S2,P000004
6543,A|4|54|||20251~S2,P000086
7543,A|4|54|||20251~S2,P000099
2541,A|4|54|||20251~S2,P000003
2545,A|4|54|||20251~S2,P000039
3545,A|4|54|||20251~S2,P000036
4543,A|4|54|||20251~S2,P000088
4546,A|4|54|||20251~S2,P000007
5544,A|4|54|||20251~S2,P000031
6542,A|4|54|||20251~S2,P000065
7542,A|4|54|||20251~S2,P000052
754U,A|4|54|||20251~S2,P000078
754V,A|4|54|||20251~S3,P000034
754W,A|4|54|||20251~S3,P000034
5546,A|4|54|||20251~S3,P000120
8543,A|4|54|||20251~S3,P000003
854S,A|4|54|||20251~S3,P000009
854T,A|4|54|||20251~S3,P000013
6545,A|4|54|||20251~S3,P000112
854R,A|4|54|||20251~S3,P000009
1541,A|4|54|||20251~S3,P000115
1542,A|4|54|||20251~S3,P000055
2543,A|4|54|||20251~S3,P000110
2546,A|4|54|||20251~S3,P000079
4541,A|4|54|||20251~S3,P000083
4544,A|4|54|||20251~S3,P000051
4547,A|4|54|||20251~S3,P000008
