materia,grupo,hora,dia,aula,profesor
1541,B3|4|54|||20251,07,L,Z23,P000117
1541,B3|4|54|||20251,17,L,Z23,P000117
1541,B3|4|54|||20251,16,M,Z23,P000117
1541,C1|4|54|||20251,09,L,E28,P000117
1541,C1|4|54|||20251,19,J,E28,P000117
1541,C1|4|54|||20251,18,V,E28,P000117
1542,C1|4|54|||20251,11,L,E28,P000019
1542,C1|4|54|||20251,20,L,E28,P000019
1542,C1|4|54|||20251,18,X,E28,P000019
1542,F|4|54|||20251,18,L,E19,P000055
1542,F|4|54|||20251,15,J,E19,P000055
1542,F|4|54|||20251,21,V,E19,P000055
1543,B0|4|54|||20251,16,L,E26,P000009
1543,B0|4|54|||20251,12,M,E26,P000009
1543,B0|4|54|||20251,18,J,E26,P000009
1543,C0|4|54|||20251,14,J,Y11,P000015
1543,C0|4|54|||20251,12,V,Y11,P000015
1543,C0|4|54|||20251,17,V,Y11,P000015
1543,CF|4|54|||20251,13,X,E26,P000057
1543,CF|4|54|||20251,14,X,E26,P000057
1543,CF|4|54|||20251,20,X,E26,P000057
1543,D0|4|54|||20251,20,L,E24,P000057
1543,D0|4|54|||20251,11,X,E24,P000057
1543,D0|4|54|||20251,15,V,E24,P000057
1543,DC|4|54|||20251,12,L,E26,P000057
1543,DC|4|54|||20251,16,M,E26,P000057
1543,DC|4|54|||20251,19,J,E26,P000057
1546,AA|4|54|||20251,07,X,E14,P000101
1546,AA|4|54|||20251,16,J,E14,P000101
1546,AA|4|54|||20251,11,V,E14,P000101
1546,BA|4|54|||20251,07,M,E26,P000102
1546,BA|4|54|||20251,11,J,E26,P000102
1546,BA|4|54|||20251,21,J,E26,P000102
1546,CA|4|54|||20251,07,M,E31,P000101
1546,CA|4|54|||20251,08,X,E31,P000101
1546,CA|4|54|||20251,07,V,E31,P000101
2541,F|4|54|||20251,16,L,E31,P000121
2541,F|4|54|||20251,21,L,E31,P000121
2541,F|4|54|||20251,17,J,E31,P000121
2541,G|4|54|||20251,15,M,E37,P000082
2541,G|4|54|||20251,15,J,E37,P000082
2541,G|4|54|||20251,07,V,E37,P000082
2542,F|4|54|||20251,12,M,E31,P000062
2542,F|4|54|||20251,19,M,E31,P000062
2542,F|4|54|||20251,21,X,E31,P000062
2543,F|4|54|||20251,10,L,E26,P000110
2543,F|4|54|||20251,21,M,E26,P000110
2543,F|4|54|||20251,14,J,E26,P000110
2543,H|4|54|||20251,08,L,E26,P000108
2543,H|4|54|||20251,11,M,E26,P000108
2543,H|4|54|||20251,16,X,E26,P000108
2545,A0|4|54|||20251,20,X,A11,P000023
2545,A0|4|54|||20251,14,J,A11,P000023
2545,A0|4|54|||20251,20,J,A11,P000023
2545,B0|4|54|||20251,18,L,F37,P000006
2545,B0|4|54|||20251,20,L,F37,P000006
2545,B0|4|54|||20251,08,X,F37,P000006
2545,C0|4|54|||20251,13,L,E33,P000039
2545,C0|4|54|||20251,21,M,E33,P000039
2545,C0|4|54|||20251,10,J,E33,P000039
2545,D0|4|54|||20251,15,M,F3A,P000006
2545,D0|4|54|||20251,19,M,F3A,P000006
2545,D0|4|54|||20251,18,J,F3A,P000006
2545,E0|4|54|||20251,07,L,E23,P000016
2545,E0|4|54|||20251,18,M,E23,P000016
2545,E0|4|54|||20251,21,X,E23,P000016
2545,F|4|54|||20251,17,M,E31,P000023
2545,F|4|54|||20251,20,M,E31,P000023
2545,F|4|54|||20251,07,X,E31,P000023
2545,F0|4|54|||20251,16,L,E3A,P000039
2545,F0|4|54|||20251,18,L,E3A,P000039
2545,F0|4|54|||20251,10,X,E3A,P000039
2545,G|4|54|||20251,08,L,2A1,P000011
2545,G|4|54|||20251,20,L,2A1,P000011
2545,G|4|54|||20251,10,X,2A1,P000011
2545,G0|4|54|||20251,15,M,E33,P000011
2545,G0|4|54|||20251,16,M,E33,P000011
2545,G0|4|54|||20251,15,V,E33,P000011
2545,H|4|54|||20251,15,M,E23,P000036
2545,H|4|54|||20251,08,X,E23,P000036
2545,H|4|54|||20251,18,J,E23,P000036
2545,H0|4|54|||20251,08,L,E33,P000036
2545,H0|4|54|||20251,10,M,E33,P000036
2545,H0|4|54|||20251,09,X,E33,P000036
2545,I|4|54|||20251,13,L,E12,P000027
2545,I|4|54|||20251,09,M,E12,P000027
2545,I|4|54|||20251,10,X,E12,P000027
2545,I0|4|54|||20251,17,L,F20,P000027
2545,I0|4|54|||20251,12,V,F20,P000027
2545,I0|4|54|||20251,18,V,F20,P000027
2545,J|4|54|||20251,16,L,2A2,P000022
2545,J|4|54|||20251,19,J,2A2,P000022
2545,J|4|54|||20251,14,V,2A2,P000022
2545,J0|4|54|||20251,11,L,E12,P000022
2545,J0|4|54|||20251,21,J,E12,P000022
2545,J0|4|54|||20251,21,V,E12,P000022
2545,K|4|54|||20251,13,L,E28,P000014
2545,K|4|54|||20251,17,M,E28,P000014
2545,K|4|54|||20251,14,X,E28,P000014
2545,K0|4|54|||20251,08,L,E37,P000014
2545,K0|4|54|||20251,20,L,E37,P000014
2545,K0|4|54|||20251,15,V,E37,P000014
2545,L|4|54|||20251,14,L,F3A,P000011
2545,L|4|54|||20251,10,V,F3A,P000011
2545,L|4|54|||20251,13,V,F3A,P000011
2545,M|4|54|||20251,08,L,F20,P000022
2545,M|4|54|||20251,13,M,F20,P000022
2545,M|4|54|||20251,11,J,F20,P000022
2545,N|4|54|||20251,18,L,E13,P000022
2545,N|4|54|||20251,10,J,E13,P000022
2545,N|4|54|||20251,12,V,E13,P000022
2545,O|4|54|||20251,18,L,E24,P000009
2545,O|4|54|||20251,11,M,E24,P000009
2545,O|4|54|||20251,15,M,E24,P000009
2545,P|4|54|||20251,10,L,E33,P000036
2545,P|4|54|||20251,16,L,E33,P000036
2545,P|4|54|||20251,18,L,E33,P000036
2545,Q|4|54|||20251,13,J,E12,P000039
2545,Q|4|54|||20251,20,J,E12,P000039
2545,Q|4|54|||20251,18,V,E12,P000039
2545,R|4|54|||20251,09,M,E28,P000016
2545,R|4|54|||20251,11,M,E28,P000016
2545,R|4|54|||20251,11,V,E28,P000016
2545,S|4|54|||20251,14,M,E38,P000027
2545,S|4|54|||20251,13,J,E38,P000027
2545,S|4|54|||20251,13,V,E38,P000027
2545,T|4|54|||20251,07,L,E26,P000027
2545,T|4|54|||20251,21,L,E26,P000027
2545,T|4|54|||20251,20,M,E26,P000027
2545,U|4|54|||20251,09,L,C12,P000039
2545,U|4|54|||20251,17,L,C12,P000039
2545,U|4|54|||20251,17,J,C12,P000039
2545,V|4|54|||20251,20,M,E33,P000014
2545,V|4|54|||20251,20,X,E33,P000014
2545,V|4|54|||20251,11,V,E33,P000014
2545,W|4|54|||20251,10,L,C12,P000014
2545,W|4|54|||20251,18,X,C12,P000014
2545,W|4|54|||20251,21,X,C12,P000014
2545,X|4|54|||20251,13,M,E31,P000036
2545,X|4|54|||20251,16,X,E31,P000036
2545,X|4|54|||20251,13,J,E31,P000036
2545,Y|4|54|||20251,09,L,E31,P000011
2545,Y|4|54|||20251,21,J,E31,P000011
2545,Y|4|54|||20251,19,V,E31,P000011
2545,Z|4|54|||20251,07,M,E13,P000039
2545,Z|4|54|||20251,12,J,E13,P000039
2545,Z|4|54|||20251,11,V,E13,P000039
2547,F|4|54|||20251,10,X,Z23,P000093
2547,F|4|54|||20251,18,X,Z23,P000093
2547,F|4|54|||20251,13,V,Z23,P000093
2547,G|4|54|||20251,17,L,E28,P000095
2547,G|4|54|||20251,19,L,E28,P000095
2547,G|4|54|||20251,13,J,E28,P000095
3542,A1|4|54|||20251,08,J,F3C,P000104
3542,A1|4|54|||20251,13,J,F3C,P000104
3542,A1|4|54|||20251,18,J,F3C,P000104
3542,F|4|54|||20251,09,L,E33,P000104
3542,F|4|54|||20251,16,V,E33,P000104
3542,F|4|54|||20251,19,V,E33,P000104
3545,F|4|54|||20251,08,M,E28,P000080
3545,F|4|54|||20251,13,X,E28,P000080
3545,F|4|54|||20251,08,J,E28,P000080
3545,G|4|54|||20251,07,L,E28,P000080
3545,G|4|54|||20251,07,M,E28,P000080
3545,G|4|54|||20251,20,M,E28,P000080
3545,H|4|54|||20251,21,L,E37,P000041
3545,H|4|54|||20251,12,M,E37,P000041
3545,H|4|54|||20251,17,V,E37,P000041
3545,I|4|54|||20251,16,M,E15,P000036
3545,I|4|54|||20251,11,V,E15,P000036
3545,I|4|54|||20251,16,V,E15,P000036
3545,J|4|54|||20251,10,V,E24,P000041
3545,J|4|54|||20251,16,V,E24,P000041
3545,J|4|54|||20251,18,V,E24,P000041
3545,K|4|54|||20251,16,L,X22,P000059
3545,K|4|54|||20251,19,J,X22,P000059
3545,K|4|54|||20251,18,V,X22,P000059
3545,L|4|54|||20251,19,M,E27,P000085
3545,L|4|54|||20251,09,X,E27,P000085
3545,L|4|54|||20251,11,J,E27,P000085
4541,F|4|54|||20251,19,L,X13,P000001
4541,F|4|54|||20251,20,X,X13,P000001
4541,F|4|54|||20251,16,J,X13,P000001
4541,G|4|54|||20251,09,L,E13,P000114
4541,G|4|54|||20251,13,L,E13,P000114
4541,G|4|54|||20251,17,V,E13,P000114
4542,AA|4|54|||20251,20,J,F36,P000107
4542,AA|4|54|||20251,08,V,F36,P000107
4542,AA|4|54|||20251,18,V,F36,P000107
4542,BA|4|54|||20251,18,L,E16,P000058
4542,BA|4|54|||20251,19,X,E16,P000058
4542,BA|4|54|||20251,08,V,E16,P000058
4542,CA|4|54|||20251,12,J,E16,P000053
4542,CA|4|54|||20251,16,J,E16,P000053
4542,CA|4|54|||20251,17,V,E16,P000053
4542,DA|4|54|||20251,21,J,E28,P000002
4542,DA|4|54|||20251,17,V,E28,P000002
4542,DA|4|54|||20251,20,V,E28,P000002
4542,EA|4|54|||20251,18,X,F20,P000118
4542,EA|4|54|||20251,20,X,F20,P000118
4542,EA|4|54|||20251,14,V,F20,P000118
4542,G|4|54|||20251,11,L,E27,P000107
4542,G|4|54|||20251,14,X,E27,P000107
4542,G|4|54|||20251,09,J,E27,P000107
4542,GA|4|54|||20251,20,M,E37,P000118
4542,GA|4|54|||20251,14,X,E37,P000118
4542,GA|4|54|||20251,12,J,E37,P000118
4544,F|4|54|||20251,07,L,E27,P000035
4544,F|4|54|||20251,15,L,E27,P000035
4544,F|4|54|||20251,20,V,E27,P000035
4544,G|4|54|||20251,21,M,2A2,P000001
4544,G|4|54|||20251,07,X,2A2,P000001
4544,G|4|54|||20251,12,V,2A2,P000001
4545,F|4|54|||20251,09,M,F20,P000008
4545,F|4|54|||20251,08,X,F20,P000008
4545,F|4|54|||20251,10,J,F20,P000008
4545,G|4|54|||20251,17,M,E27,P000003
4545,G|4|54|||20251,19,X,E27,P000003
4545,G|4|54|||20251,20,J,E27,P000003
5541,F|4|54|||20251,17,L,E27,P000021
5541,F|4|54|||20251,09,V,E27,P000021
5541,F|4|54|||20251,15,V,E27,P000021
