materia,grupo,aula
1501,B0|8|50|||20251,FF7
1501,C0|8|50|||20251,F21
1501,CF|8|50|||20251,FFA
1501,D|8|50|||20251,E39
1501,D0|8|50|||20251,FF6
1501,DB|8|50|||20251,E1A
1501,E|8|50|||20251,FFC
1502,D|8|50|||20251,LAM
1503,AN|8|50|||20251,FFA
1503,C1|8|50|||20251,FFD
1503,D|8|50|||20251,F21
1503,F|8|50|||20251,FFB
1506,C1|8|50|||20251,EE2
2502,D|8|50|||20251,LCC
2502,E|8|50|||20251,LAM
2502,F|8|50|||20251,L13
2502,G|8|50|||20251,L13
2503,D|8|50|||20251,FFB
2504,D|8|50|||20251,FF5
3501,D|8|50|||20251,F21
3501,E|8|50|||20251,FF6
3501,G|8|50|||20251,FF3
3501,H|8|50|||20251,E18
3501,I|8|50|||20251,FF6
3501,J|8|50|||20251,F26
3501,K|8|50|||20251,E18
3501,L|8|50|||20251,FF6
3502,A0|8|50|||20251,E1A
3502,B0|8|50|||20251,FFD
3502,D|8|50|||20251,EE5
3502,E|8|50|||20251,EE5
3502,F|8|50|||20251,E11
3502,G|8|50|||20251,E35
3502,H|8|50|||20251,FFD
3502,I|8|50|||20251,FF4
3502,J|8|50|||20251,EE2
3502,K|8|50|||20251,FFC
3502,L|8|50|||20251,E1A
3502,M|8|50|||20251,FF5
3502,N|8|50|||20251,FFC
3502,O|8|50|||20251,E39
3502,P|8|50|||20251,FF5
3502,Q|8|50|||20251,FFB
3502,R|8|50|||20251,E1A
3502,S|8|50|||20251,FFB
3502,T|8|50|||20251,E1A
3502,U|8|50|||20251,F13
3502,V|8|50|||20251,FFB
3502,W|8|50|||20251,FF2
3502,X|8|50|||20251,FF5
3502,Y|8|50|||20251,FFB
3506,D|8|50|||20251,LCC
4501,D|8|50|||20251,FF4
4501,E|8|50|||20251,FFC
4501,F|8|50|||20251,E35
4501,G|8|50|||20251,F21
4501,H|8|50|||20251,FF6
4501,I|8|50|||20251,FF3
4501,J|8|50|||20251,FF2
4501,K|8|50|||20251,E39
4501,L|8|50|||20251,FFB
4501,M|8|50|||20251,FFB
4501,P|8|50|||20251,FFA
4501,Q|8|50|||20251,E39
4501,R|8|50|||20251,E39
4504,D|8|50|||20251,L14
4504,E|8|50|||20251,LAM
4505,D|8|50|||20251,L14
4505,E|8|50|||20251,LAM
5502,A1|8|50|||20251,FF7
5502,BC|8|50|||20251,F26
5502,E|8|50|||20251,FF4
6505,D|8|50|||20251,LAM
6505,E|8|50|||20251,LCC
8505,D|8|50|||20251,FFC
850M,D|8|50|||20251,E35
1502,B|8|50|||20251~S1,L13
3503,B|8|50|||20251~S1,LCC
3506,B|8|50|||20251~S1,LCC
4504,B|8|50|||20251~S1,L14
4506,B|8|50|||20251~S1,LAM
5504,B|8|50|||20251~S1,L13
6502,B|8|50|||20251~S1,L14
6504,B|8|50|||20251~S1,L14
7502,B|8|50|||20251~S1,LCC
8504,B|8|50|||20251~S1,L13
2503,B|8|50|||20251~S1,FF2
3501,B|8|50|||20251~S1,FF5
3504,B|8|50|||20251~S1,FF2
4502,B|8|50|||20251~S1,FF5
6501,B|8|50|||20251~S1,E11
7501,B|8|50|||20251~S1,FFD
7506,B|8|50|||20251~S1,FF5
750I,B|8|50|||20251~S1,E11
8505,B|8|50|||20251~S1,FFA
850J,B|8|50|||20251~S1,E11
850N,B|8|50|||20251~S1,E22
9505,B|8|50|||20251~S1,FFA
2502,B|8|50|||20251~S2,LCC
3505,B|8|50|||20251~S2,L13
4503,B|8|50|||20251~S2,LAM
4505,B|8|50|||20251~S2,L13
5503,B|8|50|||20251~S2,L13
5505,B|8|50|||20251~S2,LCC
6503,B|8|50|||20251~S2,LAM
6505,B|8|50|||20251~S2,L14
7503,B|8|50|||20251~S2,LCC
1501,B|8|50|||20251~S2,EE4
1506,B|8|50|||20251~S2,FFB
2504,B|8|50|||20251~S2,FF2
3502,B|8|50|||20251~S2,EE4
4501,B|8|50|||20251~S2,FF4
5506,B|8|50|||20251~S2,F21
6506,B|8|50|||20251~S2,F26
7504,B|8|50|||20251~S2,E18
750F,B|8|50|||20251~S2,FFD
8501,B|8|50|||20251~S2,EE5
8509,B|8|50|||20251~S2,F26
850L,B|8|50|||20251~S2,E22
850O,B|8|50|||20251~S2,FF7
1502,A|8|50|||20251~S1,L13
3503,A|8|50|||20251~S1,L13
3506,A|8|50|||20251~S1,LAM
4504,A|8|50|||20251~S1,LAM
5503,A|8|50|||20251~S1,LAM
5505,A|8|50|||20251~S1,L13
6503,A|8|50|||20251~S1,L13
7502,A|8|50|||20251~S1,L14
8504,A|8|50|||20251~S1,L14
1506,A|8|50|||20251~S1,FF5
2504,A|8|50|||20251~S1,FF3
3502,A|8|50|||20251~S1,EE2
4501,A|8|50|||20251~S1,EE5
5502,A|8|50|||20251~S1,E22
6501,A|8|50|||20251~S1,FF2
750F,A|8|50|||20251~S1,FFD
750I,A|8|50|||20251~S1,FF5
8505,A|8|50|||20251~S1,F13
850K,A|8|50|||20251~S1,E18
850M,A|8|50|||20251~S1,E35
850O,A|8|50|||20251~S1,EE2
2502,A|8|50|||20251~S2,LCC
3505,A|8|50|||20251~S2,LCC
4503,A|8|50|||20251~S2,L14
4506,A|8|50|||20251~S2,L14
