materia,grupo,profesor
1501,B0|8|50|||20251,P000057
1501,C0|8|50|||20251,P000105
1501,CF|8|50|||20251,P000015
1501,D|8|50|||20251,P000006
1501,D0|8|50|||20251,P000105
1501,DB|8|50|||20251,P000006
1501,E|8|50|||20251,P000054
1502,D|8|50|||20251,P000053
1503,AN|8|50|||20251,P000170
1503,C1|8|50|||20251,P000055
1503,D|8|50|||20251,P000071
1503,F|8|50|||20251,P000170
1506,C1|8|50|||20251,P000071
2502,D|8|50|||20251,P000118
2502,E|8|50|||20251,P000177
2502,F|8|50|||20251,P000118
2502,G|8|50|||20251,P000176
2503,D|8|50|||20251,P000012
2504,D|8|50|||20251,P000028
3501,D|8|50|||20251,P000059
3501,E|8|50|||20251,P000008
3501,G|8|50|||20251,P000008
3501,H|8|50|||20251,P000041
3501,I|8|50|||20251,P000100
3501,J|8|50|||20251,P000008
3501,K|8|50|||20251,P000008
3501,L|8|50|||20251,P000085
3502,A0|8|50|||20251,P000022
3502,B0|8|50|||20251,P000025
3502,D|8|50|||20251,P000145
3502,E|8|50|||20251,P000151
3502,F|8|50|||20251,P000054
3502,G|8|50|||20251,P000022
3502,H|8|50|||20251,P000151
3502,I|8|50|||20251,P000151
3502,J|8|50|||20251,P000151
3502,K|8|50|||20251,P000134
3502,L|8|50|||20251,P000014
3502,M|8|50|||20251,P000134
3502,N|8|50|||20251,P000016
3502,O|8|50|||20251,P000151
3502,P|8|50|||20251,P000151
3502,Q|8|50|||20251,P000151
3502,R|8|50|||20251,P000145
3502,S|8|50|||20251,P000054
3502,T|8|50|||20251,P000054
3502,U|8|50|||20251,P000025
3502,V|8|50|||20251,P000134
3502,W|8|50|||20251,P000145
3502,X|8|50|||20251,P000025
3502,Y|8|50|||20251,P000025
3506,D|8|50|||20251,P000058
4501,D|8|50|||20251,P000100
4501,E|8|50|||20251,P000165
4501,F|8|50|||20251,P000054
4501,G|8|50|||20251,P000094
4501,H|8|50|||20251,P000100
4501,I|8|50|||20251,P000145
4501,J|8|50|||20251,P000006
4501,K|8|50|||20251,P000100
4501,L|8|50|||20251,P000100
4501,M|8|50|||20251,P000100
4501,P|8|50|||20251,P000100
4501,Q|8|50|||20251,P000100
4501,R|8|50|||20251,P000165
4504,D|8|50|||20251,P000138
4504,E|8|50|||20251,P000138
4505,D|8|50|||20251,P000155
4505,E|8|50|||20251,P000155
5502,A1|8|50|||20251,P000018
5502,BC|8|50|||20251,P000157
5502,E|8|50|||20251,P000104
6505,D|8|50|||20251,P000164
6505,E|8|50|||20251,P000171
8505,D|8|50|||20251,P000123
850M,D|8|50|||20251,P000175
1502,B|8|50|||20251~S1,P000122
3503,B|8|50|||20251~S1,P000153
3506,B|8|50|||20251~S1,P000058
4504,B|8|50|||20251~S1,P000172
4506,B|8|50|||20251~S1,P000129
5504,B|8|50|||20251~S1,P000141
6502,B|8|50|||20251~S1,P000004
6504,B|8|50|||20251~S1,P000131
7502,B|8|50|||20251~S1,P000135
8504,B|8|50|||20251~S1,P000166
2503,B|8|50|||20251~S1,P000012
3501,B|8|50|||20251~S1,P000039
3504,B|8|50|||20251~S1,P000019
4502,B|8|50|||20251~S1,P000001
6501,B|8|50|||20251~S1,P000125
7501,B|8|50|||20251~S1,P000143
7506,B|8|50|||20251~S1,P000174
750I,B|8|50|||20251~S1,P000148
8505,B|8|50|||20251~S1,P000169
850J,B|8|50|||20251~S1,P000143
850N,B|8|50|||20251~S1,P000124
9505,B|8|50|||20251~S1,P000125
2502,B|8|50|||20251~S2,P000150
3505,B|8|50|||20251~S2,P000154
4503,B|8|50|||20251~S2,P000142
4505,B|8|50|||20251~S2,P000155
5503,B|8|50|||20251~S2,P000158
5505,B|8|50|||20251~S2,P000124
6503,B|8|50|||20251~S2,P000159
6505,B|8|50|||20251~S2,P000160
7503,B|8|50|||20251~S2,P000167
1501,B|8|50|||20251~S2,P000006
1506,B|8|50|||20251~S2,P000071
2504,B|8|50|||20251~S2,P000178
3502,B|8|50|||20251~S2,P000025
4501,B|8|50|||20251~S2,P000165
5506,B|8|50|||20251~S2,P000137
6506,B|8|50|||20251~S2,P000131
7504,B|8|50|||20251~S2,P000137
750F,B|8|50|||20251~S2,P000156
8501,B|8|50|||20251~S2,P000162
8509,B|8|50|||20251~S2,P000136
850L,B|8|50|||20251~S2,P000156
850O,B|8|50|||20251~S2,P000156
1502,A|8|50|||20251~S1,P000122
3503,A|8|50|||20251~S1,P000149
3506,A|8|50|||20251~S1,P000058
4504,A|8|50|||20251~S1,P000172
5503,A|8|50|||20251~S1,P000158
5505,A|8|50|||20251~S1,P000124
6503,A|8|50|||20251~S1,P000127
7502,A|8|50|||20251~S1,P000135
8504,A|8|50|||20251~S1,P000159
1506,A|8|50|||20251~S1,P000139
2504,A|8|50|||20251~S1,P000147
3502,A|8|50|||20251~S1,P000054
4501,A|8|50|||20251~S1,P000094
5502,A|8|50|||20251~S1,P000020
6501,A|8|50|||20251~S1,P000125
750F,A|8|50|||20251~S1,P000156
750I,A|8|50|||20251~S1,P000128
8505,A|8|50|||20251~S1,P000169
850K,A|8|50|||20251~S1,P000161
850M,A|8|50|||20251~S1,P000175
850O,A|8|50|||20251~S1,P000156
2502,A|8|50|||20251~S2,P000122
3505,A|8|50|||20251~S2,P000154
4503,A|8|50|||20251~S2,P000142
4506,A|8|50|||20251~S2,P000129
5504,A|8|50|||20251~S2,P000138
6502,A|8|50|||20251~S2,P000135
6504,A|8|50|||20251~S2,P000156
7503,A|8|50|||20251~S2,P000167
1503,A|8|50|||20251~S2,P000071
1505,A|8|50|||20251~S2,P000133
2503,A|8|50|||20251~S2,P000012
3501,A|8|50|||20251~S2,P000041
3504,A|8|50|||20251~S2,P000019
4502,A|8|50|||20251~S2,P000001
5506,A|8|50|||20251~S2,P000137
7504,A|8|50|||20251~S2,P000169
750G,A|8|50|||20251~S2,P000146
8501,A|8|50|||20251~S2,P000162
850J,A|8|50|||20251~S2,P000136
850L,A|8|50|||20251~S2,P000168
850N,A|8|50|||20251~S2,P000127
0500,A|8|50|||20251~S2,P000123
1502,C|8|50|||20251~S1,P000122
3503,C|8|50|||20251~S1,P000132
3506,C|8|50|||20251~S1,P000177
4505,C|8|50|||20251~S1,P000155
5504,C|8|50|||20251~S1,P000141
6502,C|8|50|||20251~S1,P000135
6504,C|8|50|||20251~S1,P000156
7503,C|8|50|||20251~S1,P000167
1501,C|8|50|||20251~S1,P000054
2503,C|8|50|||20251~S1,P000144
3501,C|8|50|||20251~S1,P000041
4501,C|8|50|||20251~S1,P000094
6501,C|8|50|||20251~S1,P000130
7501,C|8|50|||20251~S1,P000130
7506,C|8|50|||20251~S1,P000179
8505,C|8|50|||20251~S1,P000123
2502,C|8|50|||20251~S2,P000118
3505,C|8|50|||20251~S2,P000154
4504,C|8|50|||20251~S2,P000172
4506,C|8|50|||20251~S2,P000129
5505,C|8|50|||20251~S2,P000124
6503,C|8|50|||20251~S2,P000166
6505,C|8|50|||20251~S2,P000164
8504,C|8|50|||20251~S2,P000166
1503,C|8|50|||20251~S2,P000071
2504,C|8|50|||20251~S2,P000178
3502,C|8|50|||20251~S2,P000054
5506,C|8|50|||20251~S2,P000137
6506,C|8|50|||20251~S2,P000131
7504,C|8|50|||20251~S2,P000154
8501,C|8|50|||20251~S2,P000074
850M,C|8|50|||20251~S2,P000175
