materia,grupo,hora,dia,aula,profesor
1501,B0|8|50|||20251,07,M,FF7,P000057
1501,B0|8|50|||20251,21,X,FF7,P000057
1501,B0|8|50|||20251,12,V,FF7,P000057
1501,C0|8|50|||20251,13,L,F21,P000105
1501,C0|8|50|||20251,07,X,F21,P000105
1501,C0|8|50|||20251,09,V,F21,P000105
1501,CF|8|50|||20251,10,L,FFA,P000015
1501,CF|8|50|||20251,14,J,FFA,P000015
1501,CF|8|50|||20251,17,V,FFA,P000015
1501,D|8|50|||20251,19,X,E39,P000006
1501,D|8|50|||20251,09,V,E39,P000006
1501,D|8|50|||20251,14,V,E39,P000006
1501,D0|8|50|||20251,11,M,FF6,P000105
1501,D0|8|50|||20251,15,J,FF6,P000105
1501,D0|8|50|||20251,07,V,FF6,P000105
1501,DB|8|50|||20251,13,L,E1A,P000006
1501,DB|8|50|||20251,08,X,E1A,P000006
1501,DB|8|50|||20251,07,J,E1A,P000006
1501,E|8|50|||20251,19,M,FFC,P000054
1501,E|8|50|||20251,21,X,FFC,P000054
1501,E|8|50|||20251,14,V,FFC,P000054
1502,D|8|50|||20251,10,L,LAM,P000053
1502,D|8|50|||20251,13,L,LAM,P000053
1502,D|8|50|||20251,17,L,LAM,P000053
1502,D|8|50|||20251,21,J,LAM,P000053
1503,AN|8|50|||20251,14,L,FFA,P000170
1503,AN|8|50|||20251,07,J,FFA,P000170
1503,AN|8|50|||20251,11,V,FFA,P000170
1503,C1|8|50|||20251,07,X,FFD,P000055
1503,C1|8|50|||20251,21,X,FFD,P000055
1503,C1|8|50|||20251,14,J,FFD,P000055
1503,D|8|50|||20251,11,L,F21,P000071
1503,D|8|50|||20251,15,X,F21,P000071
1503,D|8|50|||20251,12,J,F21,P000071
1503,F|8|50|||20251,21,L,FFB,P000170
1503,F|8|50|||20251,20,M,FFB,P000170
1503,F|8|50|||20251,07,X,FFB,P000170
1506,C1|8|50|||20251,19,M,EE2,P000071
1506,C1|8|50|||20251,11,X,EE2,P000071
1506,C1|8|50|||20251,07,J,EE2,P000071
2502,D|8|50|||20251,09,X,LCC,P000118
2502,D|8|50|||20251,10,X,LCC,P000118
2502,D|8|50|||20251,21,X,LCC,P000118
2502,D|8|50|||20251,14,J,LCC,P000118
2502,E|8|50|||20251,09,M,LAM,P000177
2502,E|8|50|||20251,13,M,LAM,P000177
2502,E|8|50|||20251,17,M,LAM,P000177
2502,E|8|50|||20251,21,M,LAM,P000177
2502,F|8|50|||20251,20,L,L13,P000118
2502,F|8|50|||20251,09,M,L13,P000118
2502,F|8|50|||20251,21,J,L13,P000118
2502,F|8|50|||20251,21,V,L13,P000118
2502,G|8|50|||20251,07,L,L13,P000176
2502,G|8|50|||20251,13,L,L13,P000176
2502,G|8|50|||20251,08,X,L13,P000176
2502,G|8|50|||20251,09,X,L13,P000176
2503,D|8|50|||20251,19,M,FFB,P000012
2503,D|8|50|||20251,12,V,FFB,P000012
2503,D|8|50|||20251,15,V,FFB,P000012
2504,D|8|50|||20251,14,M,FF5,P000028
2504,D|8|50|||20251,07,J,FF5,P000028
2504,D|8|50|||20251,20,J,FF5,P000028
3501,D|8|50|||20251,20,L,F21,P000059
3501,D|8|50|||20251,13,J,F21,P000059
3501,D|8|50|||20251,18,V,F21,P000059
3501,E|8|50|||20251,18,L,FF6,P000008
3501,E|8|50|||20251,10,J,FF6,P000008
3501,E|8|50|||20251,14,J,FF6,P000008
3501,G|8|50|||20251,13,X,FF3,P000008
3501,G|8|50|||20251,17,X,FF3,P000008
3501,G|8|50|||20251,21,X,FF3,P000008
3501,H|8|50|||20251,15,L,E18,P000041
3501,H|8|50|||20251,12,V,E18,P000041
3501,H|8|50|||20251,13,V,E18,P000041
3501,I|8|50|||20251,21,L,FF6,P000100
3501,I|8|50|||20251,08,X,FF6,P000100
3501,I|8|50|||20251,13,J,FF6,P000100
3501,J|8|50|||20251,07,M,F26,P000008
3501,J|8|50|||20251,14,M,F26,P000008
3501,J|8|50|||20251,21,M,F26,P000008
3501,K|8|50|||20251,14,L,E18,P000008
3501,K|8|50|||20251,21,L,E18,P000008
3501,K|8|50|||20251,07,J,E18,P000008
3501,L|8|50|||20251,20,M,FF6,P000085
3501,L|8|50|||20251,07,X,FF6,P000085
3501,L|8|50|||20251,12,J,FF6,P000085
3502,A0|8|50|||20251,10,M,E1A,P000022
3502,A0|8|50|||20251,17,X,E1A,P000022
3502,A0|8|50|||20251,14,J,E1A,P000022
3502,B0|8|50|||20251,08,V,FFD,P000025
3502,B0|8|50|||20251,13,V,FFD,P000025
3502,B0|8|50|||20251,18,V,FFD,P000025
3502,D|8|50|||20251,08,L,EE5,P000145
3502,D|8|50|||20251,16,L,EE5,P000145
3502,D|8|50|||20251,21,M,EE5,P000145
3502,E|8|50|||20251,13,L,EE5,P000151
3502,E|8|50|||20251,08,M,EE5,P000151
3502,E|8|50|||20251,17,X,EE5,P000151
3502,F|8|50|||20251,07,J,E11,P000054
3502,F|8|50|||20251,14,J,E11,P000054
3502,F|8|50|||20251,19,V,E11,P000054
3502,G|8|50|||20251,17,M,E35,P000022
3502,G|8|50|||20251,12,X,E35,P000022
3502,G|8|50|||20251,08,J,E35,P000022
3502,H|8|50|||20251,08,L,FFD,P000151
3502,H|8|50|||20251,21,M,FFD,P000151
3502,H|8|50|||20251,17,J,FFD,P000151
3502,I|8|50|||20251,17,L,FF4,P000151
3502,I|8|50|||20251,12,X,FF4,P000151
3502,I|8|50|||20251,21,V,FF4,P000151
3502,J|8|50|||20251,21,X,EE2,P000151
3502,J|8|50|||20251,13,J,EE2,P000151
3502,J|8|50|||20251,08,V,EE2,P000151
3502,K|8|50|||20251,10,X,FFC,P000134
3502,K|8|50|||20251,15,J,FFC,P000134
3502,K|8|50|||20251,19,J,FFC,P000134
3502,L|8|50|||20251,08,M,E1A,P000014
3502,L|8|50|||20251,12,M,E1A,P000014
3502,L|8|50|||20251,20,V,E1A,P000014
3502,M|8|50|||20251,07,V,FF5,P000134
3502,M|8|50|||20251,11,V,FF5,P000134
3502,M|8|50|||20251,15,V,FF5,P000134
3502,N|8|50|||20251,17,L,FFC,P000016
3502,N|8|50|||20251,13,M,FFC,P000016
3502,N|8|50|||20251,09,X,FFC,P000016
3502,O|8|50|||20251,15,L,E39,P000151
3502,O|8|50|||20251,09,X,E39,P000151
3502,O|8|50|||20251,20,V,E39,P000151
3502,P|8|50|||20251,20,M,FF5,P000151
3502,P|8|50|||20251,20,X,FF5,P000151
3502,P|8|50|||20251,12,J,FF5,P000151
3502,Q|8|50|||20251,12,M,FFB,P000151
3502,Q|8|50|||20251,21,J,FFB,P000151
3502,Q|8|50|||20251,16,V,FFB,P000151
3502,R|8|50|||20251,11,L,E1A,P000145
3502,R|8|50|||20251,15,M,E1A,P000145
3502,R|8|50|||20251,19,V,E1A,P000145
3502,S|8|50|||20251,14,M,FFB,P000054
3502,S|8|50|||20251,10,X,FFB,P000054
3502,S|8|50|||20251,20,V,FFB,P000054
3502,T|8|50|||20251,21,L,E1A,P000054
